colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-12-21T23:45:00Z,AV. CABEZADA,AV. DE LOS ASTROS,-100.397254,25.779838,ALCANCE,ALCANCE,0,0,0
2014-12-21T05:21:00Z,AV. FIDEL VELAZQUEZ  ,NO ME OLVIDES,-100.322744,25.725862,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T03:45:00Z,AV. PENITENCIARIA,ISMAEL GARCIA TOVAR,-100.334655,25.722684,CRUCERO,CRUCERO,0,0,0
2014-12-21T21:55:00Z,AV. AZTLAN  ,EMILIANO ZAPATA,-100.353611,25.740788,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T04:00:00Z,AV. DIAZ ORDAZ,PUENTE DEL OBISPO,-100.380159,25.671271,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T00:31:00Z,AV. DIAZ ORDAZ,CORREGIDORA,-100.382098,25.671482,VOLCADURA,VOLCADURA,0,0,0
2014-12-21T03:30:00Z,AV. GONZALITOS  ,AV. ANTONIO L RODRIGUEZ,-100.352456,25.67256,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T23:30:00Z,REFORMA,ZUAZUA,-100.307322,25.684239,CRUCERO,CRUCERO,0,0,0
2014-12-21T03:42:00Z,AV. GARZA SADA  ,GENARO GARZA GARCIA,-100.297079,25.663526,VOLCADURA,VOLCADURA,0,0,0
2014-12-21T03:55:00Z,AV. MANUEL L BARRAGAN,FTE AL ESTADIO DE BASE BOL,-100.31688,25.716129,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T03:05:00Z,AV. GONZALITOS  ,(SOBRE AVENIDA),-100.351624,25.685749,DIVERSO,DIVERSO/BACHE,0,0,0
2014-12-21T23:42:00Z,AV. COLON,AMADO NERVO,-100.319673,25.686362,REVERSA,REVERSA,0,0,0
2014-12-21T10:35:00Z,AV. CABEZADA,OCASO,-100.386598,25.7849,DIVERSO,DIVERSO/BACHE,0,0,0
2014-12-21T12:56:00Z,AV. INSURGENTES,BOLIVIA,-100.356034,25.682238,LATERAL,LATERAL,0,0,0
2014-12-21T12:15:00Z,AV. MADERO  ,AV. JUAREZ,-100.313324,25.683999,ALCANCE,ALCANCE,0,0,0
2014-12-21T13:25:00Z,AV. MADERO  ,RAYON,-100.318993,25.684625,LATERAL,LATERAL,0,0,0
2014-12-21T09:17:00Z,CAMINO A LA MONTAÑA,CAMINO DEL BOSQUE,-100.372648,25.707998,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T07:31:00Z,AV. PASEO DE LOS LEONES  ,JORDAN,-100.338918,25.695907,LATERAL,LATERAL,0,0,0
2014-12-21T06:48:00Z,COCOS,HORMABLENDA,-100.370786,25.75746,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T08:18:00Z,AV. JUAREZ,JUAN I RAMON,-100.314992,25.671401,REVERSA,REVERSA,0,0,0
2014-12-21T11:51:00Z,AV. CUAUHTEMOC,ESPINOZA,-100.317881,25.678421,LATERAL,LATERAL,0,0,0
2014-12-21T11:48:00Z,AV. FELIX U GOMEZ,HUAJUCO,-100.297115,25.680854,CRUCERO,CRUCERO,0,0,0
2014-12-21T09:32:00Z,AV. ALEJANDRO DE RODAS,PEDRO INFANTE,-100.398636,25.735327,ALCANCE,ALCANCE,0,0,0
2014-12-21T11:04:00Z,PEDREGAL DE LA COLINA,AV. ALEJANDRO DE RODAS,-100.393177,25.731181,LATERAL,LATERAL,0,0,0
2014-12-21T10:19:00Z,REFORMA,ZUAZUA,-100.307421,25.684256,CRUCERO,CRUCERO,0,0,0
2014-12-21T10:52:00Z,NUEVA ROSITA,RAFAEL NAJERA,-100.285213,25.687991,CRUCERO,CRUCERO,0,0,0
2014-12-21T08:23:00Z,AV. ALFONSO REYES,LUX,-100.28169,25.64077,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-21T10:40:00Z,REFORMA,GALEANA,-100.311182,25.684643,CRUCERO,CRUCERO,0,0,0
2014-12-21T10:42:00Z,AV. RUIZ CORTINES  ,PEDRO INFANTE,-100.388129,25.746207,LATERAL,LATERAL,0,0,0
2014-12-21T20:34:00Z,AV. AZTLAN  ,LAS LOMAS,-100.349318,25.735664,ALCANCE,ALCANCE,0,0,0
2014-12-21T14:23:00Z,APODACA,MIER DE NORIEGA,-100.335744,25.734848,LATERAL,LATERAL,0,0,0
2014-12-21T17:00:00Z,AV. NO REELECCION,OJITOS,-100.364069,25.735321,ALCANCE,ALCANCE,0,0,0
